bn = 0,  loss : 10.2254, acc: 0
bn = 1,  loss : 10.9797, acc: 0
bn = 2,  loss : 10.2745, acc: 0.0333333
bn = 3,  loss : 8.52463, acc: 0.133333
bn = 4,  loss : 9.68333, acc: 0.0666667
bn = 5,  loss : 8.5076, acc: 0.0333333
bn = 6,  loss : 9.43645, acc: 0.0333333
bn = 7,  loss : 8.64468, acc: 0.0333333
bn = 8,  loss : 7.23463, acc: 0.2
bn = 9,  loss : 8.45366, acc: 0.0666667
bn = 10,  loss : 7.71151, acc: 0.2
bn = 11,  loss : 8.86941, acc: 0.133333
bn = 12,  loss : 7.92161, acc: 0.166667
bn = 13,  loss : 7.23964, acc: 0.0333333
bn = 14,  loss : 7.34888, acc: 0.2
bn = 15,  loss : 7.41733, acc: 0.1
bn = 16,  loss : 6.56254, acc: 0.2
bn = 17,  loss : 7.96042, acc: 0.0666667
bn = 18,  loss : 6.42674, acc: 0.1
bn = 19,  loss : 7.52342, acc: 0.133333
bn = 20,  loss : 7.00034, acc: 0.0666667
bn = 21,  loss : 7.43056, acc: 0.0666667
bn = 22,  loss : 6.60429, acc: 0.166667
bn = 23,  loss : 6.75775, acc: 0.166667
bn = 24,  loss : 7.90591, acc: 0.1
bn = 25,  loss : 6.02021, acc: 0.1
bn = 26,  loss : 6.52379, acc: 0.0666667
bn = 27,  loss : 5.19999, acc: 0.166667
bn = 28,  loss : 7.27027, acc: 0.133333
bn = 29,  loss : 8.38799, acc: 0.133333
bn = 30,  loss : 5.42229, acc: 0.233333
bn = 31,  loss : 4.80307, acc: 0.266667
bn = 32,  loss : 6.12638, acc: 0.1
bn = 33,  loss : 7.76361, acc: 0.133333
bn = 34,  loss : 6.23791, acc: 0.166667
bn = 35,  loss : 5.27572, acc: 0.1
bn = 36,  loss : 6.39419, acc: 0.1
bn = 37,  loss : 6.74871, acc: 0.0333333
bn = 38,  loss : 6.5131, acc: 0.1
bn = 39,  loss : 5.54324, acc: 0.166667
bn = 40,  loss : 6.93089, acc: 0.166667
bn = 41,  loss : 7.18024, acc: 0.1
bn = 42,  loss : 5.74497, acc: 0.2
bn = 43,  loss : 5.37867, acc: 0.266667
bn = 44,  loss : 5.88303, acc: 0.133333
bn = 45,  loss : 5.89782, acc: 0.2
bn = 46,  loss : 5.40799, acc: 0.2
bn = 47,  loss : 7.15161, acc: 0
bn = 48,  loss : 6.63937, acc: 0.0333333
bn = 49,  loss : 3.86802, acc: 0.333333
bn = 50,  loss : 5.5122, acc: 0.233333
bn = 51,  loss : 4.07617, acc: 0.2
bn = 52,  loss : 5.64152, acc: 0.166667
bn = 53,  loss : 4.44724, acc: 0.4
bn = 54,  loss : 5.17483, acc: 0.166667
bn = 55,  loss : 3.78193, acc: 0.266667
bn = 56,  loss : 2.86527, acc: 0.3
bn = 57,  loss : 5.04762, acc: 0.2
bn = 58,  loss : 5.73327, acc: 0.233333
bn = 59,  loss : 4.77578, acc: 0.1
bn = 60,  loss : 4.26276, acc: 0.333333
bn = 61,  loss : 3.02835, acc: 0.266667
bn = 62,  loss : 5.13257, acc: 0.266667
bn = 63,  loss : 3.98819, acc: 0.366667
bn = 64,  loss : 4.83201, acc: 0.233333
bn = 65,  loss : 4.51218, acc: 0.466667
bn = 66,  loss : 5.38951, acc: 0.233333
bn = 67,  loss : 4.81666, acc: 0.2
bn = 68,  loss : 4.02258, acc: 0.333333
bn = 69,  loss : 4.29655, acc: 0.366667
bn = 70,  loss : 4.52555, acc: 0.4
bn = 71,  loss : 5.09952, acc: 0.333333
bn = 72,  loss : 4.67846, acc: 0.2
bn = 73,  loss : 5.99947, acc: 0.133333
bn = 74,  loss : 3.54404, acc: 0.3
bn = 75,  loss : 4.77817, acc: 0.133333
bn = 76,  loss : 3.996, acc: 0.333333
bn = 77,  loss : 3.24687, acc: 0.4
bn = 78,  loss : 3.96824, acc: 0.3
bn = 79,  loss : 2.68017, acc: 0.333333
bn = 80,  loss : 5.78163, acc: 0.2
bn = 81,  loss : 4.18504, acc: 0.266667
bn = 82,  loss : 3.36197, acc: 0.466667
bn = 83,  loss : 3.21826, acc: 0.3
bn = 84,  loss : 3.36295, acc: 0.4
bn = 85,  loss : 3.19642, acc: 0.266667
bn = 86,  loss : 2.56241, acc: 0.466667
bn = 87,  loss : 2.47686, acc: 0.433333
bn = 88,  loss : 2.47995, acc: 0.466667
bn = 89,  loss : 5.77695, acc: 0.233333
bn = 90,  loss : 3.28261, acc: 0.3
bn = 91,  loss : 3.28715, acc: 0.266667
bn = 92,  loss : 5.64258, acc: 0.266667
bn = 93,  loss : 4.96333, acc: 0.433333
bn = 94,  loss : 4.0708, acc: 0.266667
bn = 95,  loss : 3.21302, acc: 0.3
bn = 96,  loss : 4.25166, acc: 0.366667
bn = 97,  loss : 3.41124, acc: 0.4
bn = 98,  loss : 4.90317, acc: 0.233333
bn = 99,  loss : 3.03529, acc: 0.366667
bn = 100,  loss : 6.37548, acc: 0.233333
bn = 101,  loss : 4.31734, acc: 0.3
bn = 102,  loss : 3.85473, acc: 0.3
bn = 103,  loss : 3.39676, acc: 0.333333
bn = 104,  loss : 3.52282, acc: 0.4
bn = 105,  loss : 3.41661, acc: 0.3
bn = 106,  loss : 3.68464, acc: 0.4
bn = 107,  loss : 3.52512, acc: 0.466667
bn = 108,  loss : 4.28174, acc: 0.366667
bn = 109,  loss : 3.35246, acc: 0.333333
bn = 110,  loss : 3.58381, acc: 0.3
bn = 111,  loss : 4.40898, acc: 0.3
bn = 112,  loss : 2.71651, acc: 0.433333
bn = 113,  loss : 2.95104, acc: 0.433333
bn = 114,  loss : 3.43966, acc: 0.5
bn = 115,  loss : 3.00395, acc: 0.5
bn = 116,  loss : 4.56996, acc: 0.466667
bn = 117,  loss : 4.50091, acc: 0.266667
bn = 118,  loss : 2.78448, acc: 0.533333
bn = 119,  loss : 3.00089, acc: 0.4
bn = 120,  loss : 3.90429, acc: 0.366667
bn = 121,  loss : 2.1265, acc: 0.5
bn = 122,  loss : 4.35298, acc: 0.3
bn = 123,  loss : 3.75407, acc: 0.366667
bn = 124,  loss : 2.71505, acc: 0.533333
bn = 125,  loss : 3.21494, acc: 0.5
bn = 126,  loss : 2.9354, acc: 0.266667
bn = 127,  loss : 3.06684, acc: 0.433333
bn = 128,  loss : 3.95404, acc: 0.266667
bn = 129,  loss : 2.88685, acc: 0.4
bn = 130,  loss : 1.68204, acc: 0.466667
bn = 131,  loss : 3.04848, acc: 0.3
bn = 132,  loss : 2.81073, acc: 0.366667
bn = 133,  loss : 2.0778, acc: 0.6
bn = 134,  loss : 2.22102, acc: 0.5
bn = 135,  loss : 3.12468, acc: 0.366667
bn = 136,  loss : 2.33082, acc: 0.566667
bn = 137,  loss : 2.78533, acc: 0.366667
bn = 138,  loss : 2.76202, acc: 0.4
bn = 139,  loss : 2.62657, acc: 0.433333
bn = 140,  loss : 2.00518, acc: 0.5
bn = 141,  loss : 2.41221, acc: 0.466667
bn = 142,  loss : 3.74618, acc: 0.3
bn = 143,  loss : 1.57442, acc: 0.5
bn = 144,  loss : 3.11638, acc: 0.4
bn = 145,  loss : 3.35688, acc: 0.466667
bn = 146,  loss : 2.38266, acc: 0.5
bn = 147,  loss : 2.5286, acc: 0.5
bn = 148,  loss : 3.15304, acc: 0.366667
bn = 149,  loss : 2.82703, acc: 0.433333
bn = 150,  loss : 4.03444, acc: 0.333333
bn = 151,  loss : 2.09968, acc: 0.533333
bn = 152,  loss : 3.52237, acc: 0.333333
bn = 153,  loss : 2.90304, acc: 0.3
bn = 154,  loss : 2.48949, acc: 0.533333
bn = 155,  loss : 3.71327, acc: 0.333333
bn = 156,  loss : 4.26208, acc: 0.266667
bn = 157,  loss : 3.15019, acc: 0.366667
bn = 158,  loss : 2.6393, acc: 0.4
bn = 159,  loss : 2.26924, acc: 0.566667
bn = 160,  loss : 3.28288, acc: 0.3
bn = 161,  loss : 3.34287, acc: 0.333333
bn = 162,  loss : 2.11434, acc: 0.466667
bn = 163,  loss : 2.03362, acc: 0.533333
bn = 164,  loss : 2.22879, acc: 0.5
bn = 165,  loss : 2.51951, acc: 0.466667
bn = 166,  loss : 2.43286, acc: 0.533333
bn = 167,  loss : 2.1786, acc: 0.533333
bn = 168,  loss : 2.89852, acc: 0.433333
bn = 169,  loss : 2.86145, acc: 0.5
bn = 170,  loss : 2.49844, acc: 0.566667
bn = 171,  loss : 3.34237, acc: 0.333333
bn = 172,  loss : 2.28015, acc: 0.5
bn = 173,  loss : 3.61059, acc: 0.433333
bn = 174,  loss : 1.65136, acc: 0.633333
bn = 175,  loss : 2.34226, acc: 0.5
bn = 176,  loss : 4.327, acc: 0.433333
bn = 177,  loss : 2.40969, acc: 0.466667
bn = 178,  loss : 2.21556, acc: 0.4
bn = 179,  loss : 3.05253, acc: 0.433333
bn = 180,  loss : 2.5803, acc: 0.4
bn = 181,  loss : 4.1619, acc: 0.333333
bn = 182,  loss : 2.41973, acc: 0.666667
bn = 183,  loss : 2.8107, acc: 0.533333
bn = 184,  loss : 3.09892, acc: 0.6
bn = 185,  loss : 1.77118, acc: 0.566667
bn = 186,  loss : 2.47533, acc: 0.5
bn = 187,  loss : 2.04229, acc: 0.6
bn = 188,  loss : 2.27845, acc: 0.566667
bn = 189,  loss : 2.48354, acc: 0.5
bn = 190,  loss : 3.02151, acc: 0.433333
bn = 191,  loss : 2.74112, acc: 0.4
bn = 192,  loss : 2.56545, acc: 0.433333
bn = 193,  loss : 2.40154, acc: 0.433333
bn = 194,  loss : 2.16693, acc: 0.6
bn = 195,  loss : 2.00658, acc: 0.433333
bn = 196,  loss : 2.29092, acc: 0.5
bn = 197,  loss : 2.27345, acc: 0.5
bn = 198,  loss : 2.27619, acc: 0.4
bn = 199,  loss : 2.70803, acc: 0.466667
bn = 200,  loss : 1.44181, acc: 0.7
bn = 201,  loss : 2.13853, acc: 0.566667
bn = 202,  loss : 2.30847, acc: 0.533333
bn = 203,  loss : 2.49983, acc: 0.333333
bn = 204,  loss : 1.30912, acc: 0.666667
bn = 205,  loss : 2.8906, acc: 0.266667
bn = 206,  loss : 2.25639, acc: 0.5
bn = 207,  loss : 2.0899, acc: 0.6
bn = 208,  loss : 1.65162, acc: 0.566667
bn = 209,  loss : 2.64235, acc: 0.4
bn = 210,  loss : 2.36654, acc: 0.433333
bn = 211,  loss : 1.72471, acc: 0.566667
bn = 212,  loss : 1.86548, acc: 0.6
bn = 213,  loss : 1.91098, acc: 0.6
bn = 214,  loss : 2.36607, acc: 0.566667
bn = 215,  loss : 2.36039, acc: 0.5
bn = 216,  loss : 2.60863, acc: 0.4
bn = 217,  loss : 1.36845, acc: 0.666667
bn = 218,  loss : 1.56619, acc: 0.666667
bn = 219,  loss : 0.911788, acc: 0.733333
bn = 220,  loss : 1.67954, acc: 0.633333
bn = 221,  loss : 1.95108, acc: 0.6
bn = 222,  loss : 2.39351, acc: 0.566667
